0, 0, -0.450485, -0.892784
0, 1, 0.266068, -0.963954
0, 2, -0.217545, -0.976050
0, 3, -0.102842, -0.994698
0, 4, 0.054754, -0.998500
0, 5, -0.737743, -0.675082
0, 6, -0.397699, -0.917516
0, 7, -0.591810, -0.806077
1, 0, -0.708097, -0.706115
1, 1, -0.064215, -0.997936
1, 2, -0.135723, -0.990747
1, 3, -0.183392, -0.983040
1, 4, -0.206937, -0.978354
1, 5, -0.348069, -0.937469
1, 6, 0.090096, -0.995933
1, 7, -0.591379, -0.806394
2, 0, 0.284551, -0.958661
2, 1, -0.686276, -0.727341
2, 2, 0.084434, -0.996429
2, 3, -0.307495, -0.951550
2, 4, -0.532707, -0.846300
2, 5, -0.020713, -0.999785
2, 6, 0.027931, -0.999610
2, 7, 0.347328, -0.937744
3, 0, -0.402499, -0.915420
3, 1, -0.521519, -0.853239
3, 2, -0.445380, -0.895342
3, 3, -0.998281, -0.058602
3, 4, 0.056527, -0.998401
3, 5, 0.526200, -0.850361
3, 6, -0.251842, -0.967768
3, 7, 0.023082, -0.999734
4, 0, -0.787156, -0.616754
4, 1, -0.840966, -0.541088
4, 2, -0.650197, -0.759766
4, 3, -0.376697, -0.926336
4, 4, -0.155934, -0.987768
4, 5, 0.451616, -0.892212
4, 6, 0.001892, -0.999998
4, 7, -0.109132, -0.994027
5, 0, -0.778368, -0.627808
5, 1, -0.841182, -0.540752
5, 2, -0.990282, 0.139071
5, 3, -0.686792, -0.726854
5, 4, -0.268209, -0.963361
5, 5, 0.393152, -0.919473
5, 6, 0.250187, -0.968197
5, 7, -0.711350, -0.702838
6, 0, -0.516280, -0.856420
6, 1, -0.846709, -0.532056
6, 2, -0.867463, -0.497502
6, 3, -0.717971, -0.696073
6, 4, -0.562792, -0.826599
6, 5, -0.271766, -0.962363
6, 6, 0.054389, -0.998520
6, 7, 0.018340, -0.999832
7, 0, -0.472074, -0.881559
7, 1, -0.325341, -0.945597
7, 2, -0.416280, -0.909237
7, 3, -0.632590, -0.774486
7, 4, -0.339202, -0.940713
7, 5, -0.796158, -0.605088
7, 6, -0.325275, -0.945619
7, 7, -0.511133, -0.859502
